,,,,tempoExecucao,tempoExecucao,raio,raio,silhueta,silhueta,indiceRand,indiceRand
,,,,mean,std,mean,std,mean,std,mean,std
algoritmo,instancia,p,percentRaio,,,,,,,,
1,.\pontos_6.txt,2,0.0,0.09164,0.005145711304337448,6.577299999999999,0.40984360347618537,0.8103,0.00718499394091843,0.9953966666666666,0.010088145427228903
1,.\pontos_7.txt,1,0.0,0.09354,0.00492324535520892,6.70438,0.8065406454045918,0.6622,0.011642401695585817,0.7138766666666666,0.02207808530137323
1,.\pontos_7.txt,2,0.0,0.09281666666666667,0.0035390514347027066,5.972583333333334,0.4922682000161359,0.6412166666666667,0.04027378785892564,0.6949366666666666,0.0389930805827564
1,.\pontos_8.txt,1,0.0,0.09076333333333333,0.006115073706569827,9.03103,0.3020957283196266,0.6839566666666667,0.03749009692993727,0.8645666666666667,0.08151643512447229
1,.\pontos_8.txt,2,0.0,0.09218,0.003922912359371588,6.3471,0.3746532189675655,0.7051200000000001,0.022951949808240696,0.9091933333333333,0.05458297658916499
1,.\pontos_9.txt,1,0.0,0.0906,0.0028426553880434424,8.29292,0.9984449199664928,0.5693066666666666,0.07446184828873585,0.7491366666666667,0.11499059776656803
1,.\pontos_9.txt,2,0.0,0.09584666666666666,0.00593061800195034,6.388216666666667,0.4781603331471591,0.6096766666666666,0.06914808538668064,0.81316,0.11914747627813303
1,real1.txt,1,0.0,0.10036333333333333,0.0030186184706359263,221.49339999999998,23.042256010238656,0.7943800000000001,0.052345407202279114,0.022316666666666665,0.0035885914375625334
1,real1.txt,2,0.0,0.10482666666666667,0.006853337134933425,234.52516666666668,32.14375944890696,0.7942133333333333,0.04446947603526015,0.0237,0.003398579825101392
1,real10.txt,1,0.0,0.5124233333333333,0.008388320424270288,0.289,0.015613875350094073,0.1947,0.037151683490885,0.07461333333333334,0.010357397267698076
1,real10.txt,2,0.0,0.5054866666666666,0.005975105443209443,0.22114666666666669,0.0076999208833075285,0.2043,0.03441551374317833,0.06726666666666666,0.011908134957285273
